球员编号,球员,国家,身高,选秀年,经历时间,学校类型,位置,体重,城市,球队,赛区,分区
jaylen_brown,Jaylen Brown,美国,1米98,2016,5,College,后卫-前锋,"101,2 公斤",波士顿,凯尔特人,东部,大西洋分区
moses_brown,Moses Brown,美国,2.18,2019,2,College,中锋,111.1 公斤,克利夫兰,骑士,东部,中央分区
sterling_brown,Sterling Brown,美国,1米96,2017,4,College,后卫-前锋,"99,3 公斤",达拉斯,独行侠,西部,西南分区
greg_brown_iii,Greg Brown III,美国,2.01,2021,0,College,前锋,93.4 公斤,波特兰,开拓者,西部,西北分区
charles_brown,Charlie Brown Jr.,美国,1米98,2019,2,College,后卫,"90,3 公斤",费城,76人,东部,大西洋分区
chaundee_brown,Chaundee Brown Jr.,美国,1米96,2021,0,College,前锋,"97,5 公斤",亚特兰大,老鹰,东部,东南分区
troy_brown_jr,Troy Brown Jr.,美国,1米98,2018,3,College,后卫-前锋,"97,5 公斤",芝加哥,公牛,东部,中央分区
jalen_brunson,Jalen Brunson,美国,1米85,2018,3,College,后卫,"86,2 公斤",达拉斯,独行侠,西部,西南分区
thomas_bryant,Thomas Bryant,美国,2.08,2017,4,College,中锋-前锋,112.5 公斤,华盛顿,奇才,东部,东南分区
reggie_bullock,Reggie Bullock,美国,1米98,2013,8,College,后卫-前锋,"93,0 公斤",达拉斯,独行侠,西部,西南分区
trey_burke,Trey Burke,美国,1米83,2013,8,College,后卫,"83,9 公斤",达拉斯,独行侠,西部,西南分区
alec_burks,Alec Burks,美国,1.98,2011,10,College,后卫,97.1 公斤,纽约,尼克斯,东部,大西洋分区
jared_butler,Jared Butler,美国,1米90,2021,0,College,后卫,"87,5 公斤",犹他,爵士,西部,西北分区
jimmy_butler,Jimmy Butler,美国,2米01,2011,10,College,前锋,"104,3 公斤",迈阿密,热火,东部,东南分区
davontae_cacok,Devontae Cacok,美国,2.01,2019,2,College,前锋,108.9 公斤,圣安东尼奥,马刺,西部,西南分区
kentavious_caldwell-pope,Kentavious Caldwell-Pope,美国,1.96,2013,8,College,后卫,92.5 公斤,华盛顿,奇才,东部,东南分区
facundo_campazzo,Facundo Campazzo,阿根廷,1米78,2013,1,International,后卫,"88,5 公斤",丹佛,掘金,西部,西北分区
vlatko_cancar,Vlatko Cancar,斯洛文尼亚,2米03,2017,2,International,前锋,"107,0 公斤",丹佛,掘金,西部,西北分区
devin_cannady,Devin Cannady,美国,1.88,2019,1,College,后卫,83.0 公斤,奥兰多,魔术,东部,东南分区
clint_capela,Clint Capela,瑞士,2米08,2014,7,International,中锋,"116,1 公斤",亚特兰大,老鹰,东部,东南分区
vernon_carey_jr,Vernon Carey Jr.,美国,2.06,2020,1,College,前锋-中锋,122.5 公斤,华盛顿,奇才,东部,东南分区
jevon_carter,Jevon Carter,美国,1米85,2018,3,College,后卫,"90,7 公斤",密尔沃基,雄鹿,东部,中央分区
wendell_carter_jr,Wendell Carter Jr.,美国,2.08,2018,3,College,中锋-前锋,122.5 公斤,奥兰多,魔术,东部,东南分区
alex_caruso,Alex Caruso,美国,1米96,2016,4,College,后卫,"84,4 公斤",芝加哥,公牛,东部,中央分区
justin_champagnie,Justin Champagnie,美国,1米98,2021,0,College,后卫-前锋,"93,4 公斤",多伦多,猛龙,东部,大西洋分区
chris_chiozza,Chris Chiozza,美国,1米80,2018,3,College,后卫,"79,4 公斤",金州,勇士,西部,太平洋分区
marquese_chriss,Marquese Chriss,美国,2米06,2016,5,College,前锋,"108,9 公斤",达拉斯,独行侠,西部,西南分区
josh_christopher,Josh Christopher,美国,1.90,2021,0,College,后卫,97.5 公斤,休斯顿,火箭,西部,西南分区
gary_clark,Gary Clark,美国,1米98,2018,3,College,前锋,"102,1 公斤",新奥尔良,鹈鹕,西部,西南分区
brandon_clarke,Brandon Clarke,加拿大,2米03,2019,2,College,前锋,"97,5 公斤",孟菲斯,灰熊,西部,西南分区
jordan_clarkson,Jordan Clarkson,美国,1米93,2014,7,College,后卫,"88,0 公斤",犹他,爵士,西部,西北分区
nicolas_claxton,Nic Claxton,美国,2米11,2019,2,College,前锋-中锋,"97,5 公斤",布鲁克林,篮网,东部,大西洋分区
amir_coffey,Amir Coffey,美国,2.01,2019,2,College,后卫-前锋,95.3 公斤,洛杉矶,快船,西部,太平洋分区
john_collins,John Collins,美国,2米06,2017,4,College,前锋-中锋,"102,5 公斤",亚特兰大,老鹰,东部,东南分区
