球员编号,球员,国家,身高,选秀年,经历时间,学校类型,位置,体重,城市,球队,赛区,分区
julius_randle,Julius Randle,美国,2.03,2014,7,College,前锋-中锋,113.4 公斤,纽约,尼克斯,东部,大西洋分区
austin_reaves,Austin Reaves,美国,1.96,2021,0,College,后卫,89.4 公斤,洛杉矶,湖人,西部,太平洋分区
cameron_reddish,Cam Reddish,美国,2.03,2019,2,College,前锋-后卫,98.4 公斤,纽约,尼克斯,东部,大西洋分区
davon_reed,Davon Reed,美国,1米96,2017,2,College,后卫,"93,4 公斤",丹佛,掘金,西部,西北分区
paul_reed,Paul Reed,美国,2米06,2020,1,College,前锋,"95,3 公斤",费城,76人,东部,大西洋分区
naz_reid,Naz Reid,美国,2米06,2019,2,College,中锋-前锋,"119,7 公斤",明尼苏达,森林狼,西部,西北分区
nick_richards,Nick Richards,牙买加,2.13,2020,1,College,中锋,111.1 公斤,夏洛特,黄蜂,东部,东南分区
josh_richardson,Josh Richardson,美国,1.96,2015,6,College,后卫,90.7 公斤,圣安东尼奥,马刺,西部,西南分区
austin_rivers,Austin Rivers,美国,1米93,2012,9,College,后卫,"90,7 公斤",丹佛,掘金,西部,西北分区
duncan_robinson,Duncan Robinson,美国,2米01,2018,3,College,前锋,"97,5 公斤",迈阿密,热火,东部,东南分区
mitchell_robinson,Mitchell Robinson,美国,2.13,2018,3,College,中锋-前锋,108.9 公斤,纽约,尼克斯,东部,大西洋分区
tmp_jeremiah_robinson-earl,Jeremiah Robinson-Earl,美国,2.03,2021,0,College,前锋,109.8 公斤,俄克拉荷马城,雷霆,西部,西北分区
roby_isaiah,Isaiah Roby,美国,2.03,2019,2,College,前锋,104.3 公斤,俄克拉荷马城,雷霆,西部,西北分区
rajon_rondo,Rajon Rondo,美国,1.85,2006,15,College,后卫,81.6 公斤,克利夫兰,骑士,东部,中央分区
derrick_rose,Derrick Rose,美国,1.88,2008,12,College,后卫,90.7 公斤,纽约,尼克斯,东部,大西洋分区
terrence_ross,Terrence Ross,美国,1.98,2012,9,College,后卫-前锋,93.4 公斤,奥兰多,魔术,东部,东南分区
terry_rozier,Terry Rozier,美国,1.85,2015,6,College,后卫,86.2 公斤,夏洛特,黄蜂,东部,东南分区
ricky_rubio,Ricky Rubio,西班牙,1.88,2009,10,International,后卫,86.2 公斤,印第安纳,步行者,东部,中央分区
d'angelo_russell,D 'Angelo Russell,美国,1米93,2015,6,College,后卫,"87,5 公斤",明尼苏达,森林狼,西部,西北分区
matt_ryan,Matt Ryan,美国,2米01,2020,0,College,前锋,"97,5 公斤",波士顿,凯尔特人,东部,大西洋分区
domantas_sabonis,Domantas Sabonis,立陶宛,2.11,2016,5,College,前锋-中锋,108.9 公斤,萨克拉门托,国王,西部,太平洋分区
dario_saric,Dario Saric,克罗地亚,2米08,2014,5,International,前锋-中锋,"102,1 公斤",菲尼克斯,太阳,西部,太平洋分区
tomas_satoransky,Tomas Satoransky,捷克共和国,2.01,2012,5,International,后卫,95.3 公斤,华盛顿,奇才,东部,东南分区
jordan_schakel,Jordan Schakel,美国,1.98,2021,0,College,后卫,90.7 公斤,华盛顿,奇才,东部,东南分区
admiral_schofield,Admiral Schofield,英国,1.96,2019,1,College,前锋,109.3 公斤,奥兰多,魔术,东部,东南分区
dennis_schroder,Dennis Schroder,德国,1.85,2013,8,International,后卫,78.0 公斤,休斯顿,火箭,西部,西南分区
jay_scrubb,Jay Scrubb,美国,1.96,2020,1,College,后卫,99.8 公斤,洛杉矶,快船,西部,太平洋分区
alperen_sengun,Alperen Sengun,土耳其,2.08,2021,0,International,中锋,110.2 公斤,休斯顿,火箭,西部,西南分区
collin_sexton,Collin Sexton,美国,1.85,2018,3,College,后卫,86.2 公斤,克利夫兰,骑士,东部,中央分区
landry_shamet,Landry Shamet,美国,1米93,2018,3,College,后卫,"86,2 公斤",菲尼克斯,太阳,西部,太平洋分区
dayron_sharpe,Day'Ron Sharpe,美国,2米06,2021,0,College,前锋,"120,2 公斤",布鲁克林,篮网,东部,大西洋分区
pascal_siakam,Pascal Siakam,喀麦隆,2米03,2016,5,College,前锋,"104,3 公斤",多伦多,猛龙,东部,大西洋分区
ben_simmons,Ben Simmons,澳洲,2米11,2016,4,College,后卫-前锋,"108,9 公斤",布鲁克林,篮网,东部,大西洋分区
marko_simonovic,Marko Simonovic,黑山,2米11,2020,0,International,中锋,"99,8 公斤",芝加哥,公牛,东部,中央分区
anfernee_simons,Anfernee Simons,美国,1.90,2018,3,High School,后卫,82.1 公斤,波特兰,开拓者,西部,西北分区
jericho_sims,Jericho Sims,美国,2.06,2021,0,College,中锋,113.4 公斤,纽约,尼克斯,东部,大西洋分区
javonte_smart,Javonte Smart,美国,1米93,2021,0,College,后卫,"93,0 公斤",迈阿密,热火,东部,东南分区
marcus_smart,Marcus Smart,美国,1米93,2014,7,College,后卫,"99,8 公斤",波士顿,凯尔特人,东部,大西洋分区
ish_smith,Ish Smith,美国,1.83,2010,11,College,后卫,79.4 公斤,华盛顿,奇才,东部,东南分区
jalen_smith,Jalen Smith,美国,2.08,2020,1,College,前锋-中锋,97.5 公斤,印第安纳,步行者,东部,中央分区
xavier_sneed,Xavier Sneed,美国,1米96,2020,0,College,前锋,"97,5 公斤",犹他,爵士,西部,西北分区
tony_snell,Tony Snell,美国,1米98,2013,8,College,后卫,"96,6 公斤",新奥尔良,鹈鹕,西部,西南分区
jaden_springer,Jaden Springer,美国,1米93,2021,0,College,后卫,"91,6 公斤",费城,76人,东部,大西洋分区
nik_stauskas,Nik Stauskas,加拿大,1米98,2014,5,College,后卫,"93,9 公斤",波士顿,凯尔特人,东部,大西洋分区
lance_stephenson,Lance Stephenson,美国,1.96,2010,9,College,前锋,95.3 公斤,印第安纳,步行者,东部,中央分区
lamar_stevens,Lamar Stevens,美国,1.98,2020,1,College,前锋,104.3 公斤,克利夫兰,骑士,东部,中央分区
dj_stewart_jr,DJ Stewart,美国,1.96,2021,0,College,后卫,93.0 公斤,圣安东尼奥,马刺,西部,西南分区
isaiah_stewart,Isaiah Stewart,美国,2.03,2020,1,College,前锋-中锋,113.4 公斤,底特律,活塞,东部,中央分区
max_strus,Max Strus,美国,1米96,2019,2,College,后卫-前锋,"97,5 公斤",迈阿密,热火,东部,东南分区
jalen_suggs,Jalen Suggs,美国,1.96,2021,0,College,后卫,93.0 公斤,奥兰多,魔术,东部,东南分区
jaesean_tate,Jae'Sean Tate,美国,1.93,2018,1,College,前锋,104.3 公斤,休斯顿,火箭,西部,西南分区
jayson_tatum,Jayson Tatum,美国,2米03,2017,4,College,前锋-后卫,"95,3 公斤",波士顿,凯尔特人,东部,大西洋分区
terry_taylor,Terry Taylor,美国,1.96,2021,0,College,前锋,104.3 公斤,印第安纳,步行者,东部,中央分区
garrett_temple,Garrett Temple,美国,1米96,2009,11,College,后卫-前锋,"88,5 公斤",新奥尔良,鹈鹕,西部,西南分区
tyrell_terry,Tyrell Terry,美国,1米88,2020,1,College,后卫,"72,6 公斤",孟菲斯,灰熊,西部,西南分区
daniel_theis,Daniel Theis,德国,2米06,2013,4,International,前锋-中锋,"111,1 公斤",波士顿,凯尔特人,东部,大西洋分区
brodric_thomas,Brodric Thomas,美国,1米96,2020,1,College,后卫,"83,9 公斤",波士顿,凯尔特人,东部,大西洋分区
cam_thomas,Cam Thomas,日本,1米90,2021,0,College,后卫,"95,3 公斤",布鲁克林,篮网,东部,大西洋分区
isaiah_thomas,Isaiah Thomas,美国,1.75,2011,10,College,后卫,83.9 公斤,夏洛特,黄蜂,东部,东南分区
matt_thomas,Matt Thomas,美国,1米90,2017,2,College,后卫,"86,2 公斤",芝加哥,公牛,东部,中央分区
klay_thompson,Klay Thompson,美国,1米98,2011,8,College,后卫,"99,8 公斤",金州,勇士,西部,太平洋分区
tristan_thompson,Tristan Thompson,加拿大,2米06,2011,10,College,中锋-前锋,"115,2 公斤",芝加哥,公牛,东部,中央分区
jt_thor,JT Thor,美国,2.06,2021,0,College,前锋,92.1 公斤,夏洛特,黄蜂,东部,东南分区
matisse_thybulle,Matisse Thybulle,美国,1米96,2019,2,College,后卫-前锋,"91,2 公斤",费城,76人,东部,大西洋分区
killian_tillie,Killian Tillie,法国,2米06,2020,1,College,前锋-中锋,"99,8 公斤",孟菲斯,灰熊,西部,西南分区
xavier_tillman,Xavier Tillman,美国,2米03,2020,1,College,前锋,"111,1 公斤",孟菲斯,灰熊,西部,西南分区
isaiah_todd,Isaiah Todd,美国,2.06,2021,0,International,前锋,99.3 公斤,华盛顿,奇才,东部,东南分区
obi_toppin,Obi Toppin,美国,2.06,2020,1,College,前锋,99.8 公斤,纽约,尼克斯,东部,大西洋分区
juan_toscano-anderson,Juan Toscano-Anderson,美国,1米98,2015,2,College,前锋,"94,8 公斤",金州,勇士,西部,太平洋分区
karl-anthony_towns,Karl Anthony Towns,美国,2米11,2015,6,College,中锋-前锋,"112,5 公斤",明尼苏达,森林狼,西部,西北分区
