球员,球员(中),场均得分,排名,场均助攻,排名,场均篮板,排名,投篮命中率,排名,三分命中率,排名,罚球命中率,排名,场均盖帽,排名,场均抢断,排名,本赛季薪金
naji_marshall,纳吉 马绍尔,3,-,0.8,-,1,-,70.00%,-,0%,-,100%,-,0.17,-,0.17,-,152
jose_alvarado,约瑟 阿尔瓦拉多,8,-,1.5,-,1.3,-,48.50%,-,37.50%,-,76.90%,-,0.17,-,1.17,-,46
jared_harper,贾里德 哈珀,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
gary_clark,加里 克拉克,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
stephen_curry,斯蒂芬 库里,28,-,5.4,-,3.4,-,50.00%,-,40.40%,-,74.40%,-,0.4,-,1.6,-,4578
klay_thompson,克莱 汤普森,22.6,-,1.4,-,3.8,-,50.60%,-,45.80%,-,83.30%,-,0.8,-,1.2,-,3798
andrew_wiggins,安德鲁 威金斯,14,-,1.6,-,6.8,-,52.90%,-,53.80%,-,56.20%,-,0.8,-,0.8,-,2929
draymond_green,德雷蒙德 格林,9.6,-,7.4,-,5.4,-,52.90%,-,36.40%,-,66.70%,-,1.6,-,1.6,-,2220
james_wiseman,詹姆斯 怀斯曼,0,-,0,-,0,-,0.00%,-,0.00%,-,0.00%,-,0,-,0,-,873
jonathan_kuminga,乔纳森 库明加,3.5,-,0.2,-,0,-,62.50%,-,0%,-,57.10%,-,0.25,-,0.25,-,547
moses_moody,摩西 穆迪,0.5,-,0.5,-,0.5,-,0%,-,0%,-,50.00%,-,0,-,0.5,-,356
andre_iguodala,安德烈 伊格达拉,1.3,-,2.3,-,2.3,-,20.00%,-,0%,-,66.70%,-,0.67,-,0,-,264
otto_porter,奥托 波特,3.4,-,2.2,-,3.2,-,31.80%,-,15.40%,-,50.00%,-,0.4,-,0.6,-,239
jordan_poole,乔丹 普尔,21,-,5.4,-,2.4,-,54.80%,-,48.40%,-,84.60%,-,0.4,-,1.4,-,216
